Date,Open,High,Low,Close,Adj Close,Volume,ds,trend,yearly,weekly,LR_KMeans_Prediction,Random_Forest_Prediction,Residual_Cluster,Prophet_Forecast
2010-08-04,4.39,4.436,4.17,4.252,4.252,4565000,2010-08-04,2.6659997985935813,-10.80750579721571,0.0070378052810920735,4.521973473408263,4.220097565807944,0,-8.134468193341036
2010-08-05,4.308,4.31,4.01,4.09,4.09,3981000,2010-08-05,2.674394551539367,-10.40244646069005,-0.7764225258996481,4.00389618952358,4.1571147328160984,0,-8.504474435050332
2010-08-06,4.02,4.032,3.904,3.918,3.918,3709500,2010-08-06,2.682789304485153,-9.9563497147675,-1.5915505664932563,3.4528014597887937,4.086172567382895,0,-8.865110976775602
2010-08-09,3.98,3.996,3.89,3.92,3.92,4063500,2010-08-09,2.7079735633225117,-8.466675477322053,0.0905589421218785,4.179145792270164,3.944683188145743,0,-5.668142971877662
2010-08-10,3.93,3.93,3.764,3.806,3.806,6406500,2010-08-10,2.716368316268298,-7.952659266798898,-0.14411885724701115,4.083630288685454,3.8991531201467597,0,-5.380409807777612
2010-08-11,3.738,3.776,3.57,3.58,3.58,3988000,2010-08-11,2.7247630692140836,-7.446084501374707,0.007037805282222223,4.048780636796588,3.715629053431907,0,-4.714283626878402
2010-08-12,3.56,3.58,3.478,3.52,3.52,3455000,2010-08-12,2.7331578221598702,-6.955864739793876,-0.7764225259017451,3.439905927512443,3.604755049013715,0,-4.99912944353575
2010-08-13,3.636,3.69,3.532,3.664,3.664,3170000,2010-08-13,2.7415525751056564,-6.490031756616933,-1.5915505664923308,2.986173265326358,3.6357711517214644,0,-5.340029748003607
2010-08-16,3.69,3.76,3.652,3.756,3.756,2429000,2010-08-16,2.766736833943015,-5.301718590126154,0.09055894212052108,4.005913242824895,3.7555318475117843,0,-2.4444228140626185
2010-08-17,3.792,3.88,3.756,3.83,3.83,2239500,2010-08-17,2.7751315868888007,-4.989455775689944,-0.14411885724592308,3.982986049641055,3.821541479005294,0,-2.358443046047067
2010-08-18,3.918,3.918,3.72,3.754,3.754,3006500,2010-08-18,2.783526339834587,-4.722453123565976,0.007037805281369702,4.134331502733557,3.876790577437798,0,-1.931888978450019
2010-08-19,3.708,3.85,3.666,3.758,3.758,2895500,2010-08-19,2.791921092780373,-4.500443908444356,-0.7764225259024669,3.674003644592075,3.827007043574712,0,-2.4849453415664504
2010-08-20,3.73,3.822,3.702,3.82,3.82,1480000,2010-08-20,2.800315845726159,-4.321713439249755,-1.5915505664910916,3.2857089148434224,3.8394358973647127,0,-3.1129481600146875
2010-08-23,3.818,4.078,3.8,4.026,4.026,5440500,2010-08-23,2.8255001045635173,-4.0089298485584095,0.09055894212146752,4.204186706343444,3.930382849984696,0,-1.0928708018734246
2010-08-24,3.85,3.942,3.79,3.84,3.84,3365500,2010-08-24,2.833894857509304,-3.961913770861764,-0.14411885724483492,4.2835789689078245,4.002307659145509,0,-1.2721377705972947
2010-08-25,3.832,3.996,3.712,3.98,3.98,2516500,2010-08-25,2.84228961045509,-3.9331065718034415,0.007037805280517014,4.171568822014484,3.972899005160117,0,-1.0837791560678345
2010-08-26,3.978,4.054,3.92,3.95,3.95,2169000,2010-08-26,2.850684363400876,-3.915701271867223,-0.7764225259017141,3.921189308473864,3.9772110097369424,0,-1.84143943436806
2010-08-27,3.95,3.974,3.9,3.94,3.94,1898000,2010-08-27,2.859079116346662,-3.9028883292701946,-1.5915505664932252,3.477397069699188,3.973992135416945,0,-2.6353597794167576
2010-08-30,3.94,4.038,3.922,3.974,3.974,3664000,2010-08-30,2.8842633751840205,-3.829347758367479,0.09055894212002996,4.3264120737160425,3.974724433621635,0,-0.8545254410634282
2010-08-31,3.932,3.958,3.866,3.896,3.896,1005500,2010-08-31,2.892658128129807,-3.775741644917141,-0.14411885724627055,4.236312881444318,3.9626284298135284,0,-1.027202374033604
2010-09-01,3.924,4.138,3.92,4.09,4.09,2474500,2010-09-01,2.901052881075593,-3.7013591350093282,0.007037805282819619,4.234443888164973,3.989421745624768,0,-0.7932684486509154
2010-09-02,4.074,4.248,4.062,4.212,4.212,2435500,2010-09-02,2.909447634021379,-3.604275740983972,-0.776422525902436,4.038875504834371,4.107209580397585,0,-1.4712506328650288
2010-09-03,4.174,4.26,4.132,4.21,4.21,2173000,2010-09-03,2.9178423869671652,-3.4839202526159037,-1.5915505664919858,3.738856770274027,4.176770380579022,0,-2.157628432140725
2010-09-07,4.122,4.2,4.1,4.108,4.108,1217000,2010-09-07,2.9514213987503095,-2.8065716916973944,-0.14411885724407317,4.487790219839583,4.153082421848643,0,0.0007308498088418602
2010-09-08,4.132,4.19,4.12,4.18,4.18,1442000,2010-09-08,2.959816151696096,-2.6086801081364963,0.00703780527980344,4.471591083931768,4.132509112363186,0,0.35817384883940306
2010-09-09,4.2,4.21,4.138,4.142,4.142,1881000,2010-09-09,2.9682109046418823,-2.4113022413164384,-0.7764225259031579,4.157897767556588,4.147639808098492,0,-0.21951386257771377
2010-09-10,4.15,4.186,3.952,4.034,4.034,1933000,2010-09-10,2.976605657587668,-2.2217487303244137,-1.5915505664910603,3.7160064426118145,4.132647458963014,0,-0.8366936392278062
2010-09-13,4.178,4.18,4.1,4.144,4.144,1804000,2010-09-13,3.0017899164250266,-1.7771222212904767,0.0905589421220028,4.467321962387583,4.103548537062562,0,1.3152266372565526
2010-09-14,4.108,4.32,4.106,4.224,4.224,3273500,2010-09-14,3.0101846693708127,-1.6952839558036963,-0.14411885724692294,4.454200870901888,4.167843586229103,0,1.1707818563201933
2010-09-15,4.196,4.4,4.158,4.396,4.396,3423000,2010-09-15,3.018579422316599,-1.657793160972038,0.0070378052811145755,4.605625361962349,4.244468743636154,0,1.3678240666256756
2010-09-16,4.43,4.632,4.168,4.188,4.188,13422500,2010-09-16,3.026974175262385,-1.6699504352729218,-0.7764225259038797,4.381012557619932,4.175381159346737,0,0.5806012140855836
2010-09-17,4.204,4.264,3.96,4.046,4.046,5992500,2010-09-17,3.0353689282081713,-1.7357717631125822,-1.591550566492566,3.759442243198361,4.1586762065538005,0,-0.2919534013969769
2010-09-20,4.134,4.27,4.032,4.212,4.212,4737500,2010-09-20,3.0605531870455294,-2.27196715137552,0.09055894212056553,4.468793257559501,4.110000990735134,0,0.8791449777905749
2010-09-21,4.178,4.31,4.134,4.154,4.154,3980000,2010-09-21,3.068947939991316,-2.5604174030765097,-0.1441188572433113,4.508397420693072,4.170553428579722,0,0.3644116796714947
2010-09-22,4.174,4.19,3.96,3.974,3.974,4814500,2010-09-22,3.0773426929371017,-2.8974948562363956,0.007037805283416947,4.512528400490028,4.136173984086282,0,0.18688564198412294
2010-09-23,3.978,4.028,3.9,3.912,3.912,3340500,2010-09-23,3.085737445882888,-3.276682867027649,-0.7764225259031269,3.9315442728645733,3.9860644505119724,0,-0.9673679470478875
2010-09-24,3.99,4.038,3.93,4.02,4.02,2894500,2010-09-24,3.0941321988286745,-3.689721252838138,-1.5915505664947,3.444802025742454,3.9559072644081716,0,-2.1871396205041638
2010-09-27,4.08,4.162,4.01,4.106,4.106,2093000,2010-09-27,3.119316457666033,-5.026707923514967,0.09055894211912814,4.371013090374971,4.056582750838763,0,-1.8168325237298046
2010-09-28,4.208,4.298,4.152,4.28,4.28,6072500,2010-09-28,3.1277112106118183,-5.464000946151535,-0.14411885724616108,4.324225759360285,4.167944546283232,0,-2.480408592785878
2010-09-29,4.238,4.406,4.226,4.396,4.396,9846500,2010-09-29,3.136105963557605,-5.874657988410802,0.007037805282564426,4.550811379146857,4.238938976512107,0,-2.7315142195706335
2010-09-30,4.4,4.43,4.038,4.082,4.082,10979000,2010-09-30,3.144500716503391,-6.244723544845914,-0.7764225259024738,4.257720982453026,4.172213298384833,0,-3.8766453542449972
2010-10-01,4.138,4.15,4.062,4.12,4.12,2988500,2010-10-01,3.152895469449177,-6.560413932251053,-1.5915505664937748,3.5427707983184757,4.097138141109385,0,-4.999069029295651
2010-10-04,4.086,4.234,4.06,4.198,4.198,3218000,2010-10-04,3.1780797282865354,-7.053531427869728,0.09055894212253839,4.429853118811149,4.14629908599114,0,-3.7848927574606543
2010-10-05,4.23,4.256,4.202,4.224,4.224,1660000,2010-10-05,3.1864744812323216,-7.029800660159361,-0.1441188572450731,4.3802440058339585,4.16332099320583,0,-3.987445036172112
2010-10-06,4.212,4.252,4.064,4.092,4.092,1567000,2010-10-06,3.1948692341781078,-6.897601678847223,0.007037805283875495,4.484231454942098,4.163763454132258,0,-3.6956946393852395
2010-10-07,4.114,4.128,4.068,4.086,4.086,705000,2010-10-07,3.203263987123894,-6.651218067323198,-0.7764225259045707,3.9565100624088925,4.110402137194327,0,-4.224376606103876
2010-10-08,4.086,4.158,4.078,4.086,4.086,1339000,2010-10-08,3.21165874006968,-6.2871665316585545,-1.5915505664955945,3.550718773365333,4.110820538909433,0,-4.667058358084469
2010-10-11,4.088,4.14,4.014,4.048,4.048,856000,2010-10-11,3.2368429989070386,-4.489854856599556,0.09055894212118112,4.453205192667561,4.108680635811795,0,-1.1624529155713357
2010-10-12,4.04,4.056,4.006,4.048,4.048,1220000,2010-10-12,3.245237751852825,-3.668025769304432,-0.14411885724398496,4.318511028724771,4.103425440697755,0,-0.5669068746955914
2010-10-13,4.128,4.17,4.072,4.108,4.108,1591000,2010-10-13,3.2536325047986105,-2.7467982850842088,0.007037805280859316,4.414140459547326,4.1156372882058845,0,0.5138720249952606
2010-10-14,4.2,4.206,4.08,4.15,4.15,1474000,2010-10-14,3.2620272577443967,-1.7365256636108162,-0.7764225259038179,4.10196334876685,4.154598389512272,0,0.7490790682297628
2010-10-15,4.178,4.18,4.05,4.108,4.108,1423500,2010-10-15,3.2704220106901833,-0.6493670390728915,-1.5915505664943548,3.7626430904650268,4.1413353823775845,0,1.0295044051229372
2010-10-18,4.104,4.128,4.044,4.046,4.046,814000,2010-10-18,3.295606269527542,2.9310802381907473,0.09055894212212756,4.661515233121598,4.13650744777508,0,6.317245449840417
2010-10-19,4.04,4.082,4.0,4.01,4.01,1226000,2010-10-19,3.3040010224733276,4.178960623535113,-0.14411885724431117,4.517194058452236,4.1069383684923055,0,7.33884278876413
2010-10-20,4.032,4.138,4.008,4.13,4.13,1562500,2010-10-20,3.312395775419114,5.42716448789432,0.007037805283161754,4.593539605656924,4.099527822414862,0,8.746598068596596
2010-10-21,4.122,4.19,4.09,4.15,4.15,2085500,2010-10-21,3.3207905283649,6.659840520431747,-0.7764225259045396,4.347614766747901,4.16002883692314,0,9.204208522892106
2010-10-22,4.136,4.186,4.11,4.144,4.144,805500,2010-10-22,3.3291852813106857,7.861858753766969,-1.5915505664934295,3.98067697413332,4.156687418718375,0,9.599493468584225
2010-10-25,4.188,4.196,4.146,4.17,4.17,592500,2010-10-25,3.3543695401480442,11.150810163616077,0.09055894212077027,4.90713504167787,4.151982355154661,0,14.595738645884891
2010-10-26,4.16,4.374,4.102,4.272,4.272,3304500,2010-10-26,3.362764293093831,12.105183784046439,-0.14411885724574672,4.839950477911721,4.175407213746735,0,15.323829219894522
2010-10-27,4.25,4.276,4.13,4.2,4.2,1782500,2010-10-27,3.371159046039617,12.975361167875779,0.007037805282309133,5.041614139551183,4.205246260024545,0,16.353558019197706
2010-10-28,4.278,4.3,4.192,4.238,4.238,1121000,2010-10-28,3.3795537989854028,13.756683693761754,-0.7764225259024117,4.59660031370383,4.198109736540792,0,16.35981496684475
2010-10-29,4.228,4.37,4.21,4.368,4.368,1403000,2010-10-29,3.3879485519311894,14.446786529963731,-1.59155056649219,4.241230346072177,4.239593127242662,0,16.24318451540273
2010-11-01,4.388,4.55,4.262,4.282,4.282,2279000,2010-11-01,3.4131328107685475,15.979913579053735,0.09055894212171671,5.252492888194847,4.2572635250612105,0,19.483605331944002
2010-11-02,4.336,4.376,4.21,4.25,4.25,1612500,2010-11-02,3.4215275637143336,16.325738621271174,-0.14411885724465867,5.059733167277294,4.249615987726433,0,19.603147327740853
2010-11-03,4.256,4.5,4.232,4.354,4.354,1863000,2010-11-03,3.42992231666012,16.600437722179834,0.007037805281456645,5.114956140025253,4.324217773768241,0,20.037397844121408
2010-11-04,4.52,5.066,4.43,4.98,4.98,9370000,2010-11-04,3.438317069605906,16.813092515665264,-0.7764225258989087,4.823446730323911,4.72179326467385,0,19.47498705937226
2010-11-05,4.974,4.994,4.744,4.888,4.888,5055000,2010-11-05,3.446711822551692,16.973806905247315,-1.5915505664943241,5.027788681960531,4.930100510768625,0,18.828968161304683
2010-11-08,4.9,5.0,4.806,4.996,4.996,2547500,2010-11-08,3.4718960813890507,17.253196786504063,0.09055894212266301,5.77742249572716,5.007501835398724,0,20.815651810015776
2010-11-09,5.0,5.138,4.81,4.926,4.926,4782000,2010-11-09,3.4802908343348364,17.315078493032647,-0.14411885724609425,5.778996040295192,5.0869594861122245,0,20.651250470121393
2010-11-10,4.896,5.994,4.81,5.872,5.872,15302500,2010-11-10,3.4886855872806226,17.37826159934541,0.007037805281595459,5.788834935297365,5.434672721558814,0,20.873984991907626
